time,open,high,low,close,row,group,sma
1612310400000,1317.05,1514.23,1317.05,1514.23,12,0,1512.5303448275863
1612656000000,1661.0,1724.86,1587.8,1683.94,13,0,1512.5303448275863
1613001600000,1608.64,1769.05,1608.64,1739.16,14,0,1512.5303448275863
1613347200000,1782.51,1841.2,1782.51,1804.98,15,0,1512.5303448275863
1613692800000,1775.76,1938.57,1775.76,1938.57,16,0,1512.5303448275863
1614038400000,1969.98,1969.98,1788.62,1788.62,17,0,1512.5303448275863
1615075200000,1579.43,1661.93,1539.05,1661.93,20,0,1512.5303448275863
1615420800000,1727.46,1869.33,1727.46,1802.31,21,0,1512.5303448275863
1615766400000,1826.06,1927.72,1770.94,1866.07,22,0,1512.5303448275863
1616112000000,1791.05,1828.75,1780.16,1780.16,23,0,1512.5303448275863
1616457600000,1817.13,1817.86,1686.89,1686.89,24,0,1512.5303448275863
1616803200000,1673.86,1700.37,1581.63,1700.37,25,0,1512.5303448275863
1617148800000,1713.84,1840.29,1689.04,1840.29,26,0,1512.5303448275863
1617408000000,1915.83,2134.1,1915.83,2134.1,27,0,1512.5303448275863
1617753600000,2016.67,2115.06,2016.67,2115.06,28,0,1512.5303448275863
1618099200000,1989.15,2142.8,1989.15,2142.8,29,0,1512.5303448275863
1619740800000,2647.16,2757.5,2647.16,2757.5,34,1,2544.1556666666665
1620000000000,2776.7,2953.3,2776.7,2953.3,35,1,2544.1556666666665
1620345600000,3439.86,3524.56,3245.66,3495.08,36,1,2544.1556666666665
1620691200000,3493.53,3979.61,3493.53,3979.61,37,1,2544.1556666666665
1621036800000,4182.79,4182.79,3750.34,4088.73,38,1,2544.1556666666665
1621382400000,3659.92,3659.92,3288.23,3399.05,39,1,2544.1556666666665
1622073600000,2120.04,2882.48,2120.04,2882.48,41,1,2544.1556666666665
1622678400000,2708.43,2717.15,2632.66,2717.15,43,1,2544.1556666666665
1623024000000,2858.28,2858.28,2624.77,2711.55,44,1,2544.1556666666665
1623715200000,2356.63,2587.38,2356.63,2587.38,46,1,2544.1556666666665
1627948800000,2541.67,2611.67,2541.67,2611.67,59,1,2544.1556666666665
1630627200000,3440.56,3793.3,3440.56,3793.3,67,2,3657.5813333333335
1630972800000,3936.16,3950.27,3894.94,3943.26,68,2,3657.5813333333335
1634256000000,3537.84,3794.52,3498.11,3794.52,78,2,3657.5813333333335
1634601600000,3885.64,3885.64,3752.62,3752.62,79,2,3657.5813333333335
1634947200000,3884.59,4170.11,3884.59,3990.71,80,2,3657.5813333333335
1635292800000,4179.44,4230.21,4094.94,4152.57,81,2,3657.5813333333335
1635638400000,3944.09,4422.94,3944.09,4324.61,82,2,3657.5813333333335
1635897600000,4292.04,4596.59,4292.04,4596.59,83,2,3657.5813333333335
1636243200000,4607.7,4607.7,4494.8,4527.1,84,2,3657.5813333333335
1636588800000,4626.63,4815.0,4626.63,4641.53,85,2,3657.5813333333335
1636934400000,4732.92,4732.92,4652.95,4652.95,86,2,3657.5813333333335
1637280000000,4583.21,4583.21,3993.85,3993.85,87,2,3657.5813333333335
1637625600000,4317.6,4436.19,4101.06,4101.06,88,2,3657.5813333333335
1637971200000,4355.42,4515.84,4048.31,4048.31,89,2,3657.5813333333335
1638230400000,4084.09,4444.53,4084.09,4444.53,90,3,4140.46
1638489600000,4637.12,4637.12,4519.44,4519.44,91,3,4140.46
1638835200000,4240.16,4347.62,4101.66,4347.62,92,3,4140.46
